,Survived,Name_Prefix,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,0.0,3.0,0.0,0.0,22.0,1.0,0.0,7.25,2.0
1,1.0,1.0,1.0,1.0,38.0,1.0,0.0,71.28,0.0
2,1.0,3.0,2.0,1.0,26.0,0.0,0.0,7.92,2.0
3,1.0,1.0,1.0,1.0,35.0,1.0,0.0,53.1,2.0
4,0.0,3.0,0.0,0.0,35.0,0.0,0.0,8.05,2.0
5,0.0,3.0,0.0,0.0,29.39,0.0,0.0,8.46,1.0
6,0.0,1.0,0.0,0.0,54.0,0.0,0.0,51.86,2.0
7,0.0,3.0,3.0,0.0,2.0,3.0,1.0,21.08,2.0
8,1.0,3.0,1.0,1.0,27.0,0.0,2.0,11.13,2.0
9,1.0,2.0,1.0,1.0,14.0,1.0,0.0,30.07,0.0
10,1.0,3.0,2.0,1.0,4.0,1.0,1.0,16.7,2.0
11,1.0,1.0,2.0,1.0,58.0,0.0,0.0,26.55,2.0
12,0.0,3.0,0.0,0.0,20.0,0.0,0.0,8.05,2.0
13,0.0,3.0,0.0,0.0,39.0,1.0,5.0,31.28,2.0
14,0.0,3.0,2.0,1.0,14.0,0.0,0.0,7.85,2.0
15,1.0,2.0,1.0,1.0,55.0,0.0,0.0,16.0,2.0
16,0.0,3.0,3.0,0.0,2.0,4.0,1.0,29.12,1.0
17,1.0,2.0,0.0,0.0,33.86,0.0,0.0,13.0,2.0
18,0.0,3.0,1.0,1.0,31.0,1.0,0.0,18.0,2.0
19,1.0,3.0,1.0,1.0,25.94,0.0,0.0,7.22,0.0
20,0.0,2.0,0.0,0.0,35.0,0.0,0.0,26.0,2.0
21,1.0,2.0,0.0,0.0,34.0,0.0,0.0,13.0,2.0
22,1.0,3.0,2.0,1.0,15.0,0.0,0.0,8.03,1.0
23,1.0,1.0,0.0,0.0,28.0,0.0,0.0,35.5,2.0
24,0.0,3.0,2.0,1.0,8.0,3.0,1.0,21.08,2.0
25,1.0,3.0,1.0,1.0,38.0,1.0,5.0,31.39,2.0
26,0.0,3.0,0.0,0.0,28.86,0.0,0.0,7.22,0.0
27,0.0,1.0,0.0,0.0,19.0,3.0,2.0,263.0,2.0
28,1.0,3.0,2.0,1.0,18.46,0.0,0.0,7.88,1.0
29,0.0,3.0,0.0,0.0,29.94,0.0,0.0,7.9,2.0
30,0.0,1.0,0.0,0.0,40.0,0.0,0.0,27.72,0.0
31,1.0,1.0,1.0,1.0,36.43,1.0,0.0,146.52,0.0
32,1.0,3.0,2.0,1.0,18.46,0.0,0.0,7.75,1.0
33,0.0,2.0,0.0,0.0,66.0,0.0,0.0,10.5,2.0
34,0.0,1.0,0.0,0.0,28.0,1.0,0.0,82.17,0.0
35,0.0,1.0,0.0,0.0,42.0,1.0,0.0,52.0,2.0
36,1.0,3.0,0.0,0.0,25.92,0.0,0.0,7.23,0.0
37,0.0,3.0,0.0,0.0,21.0,0.0,0.0,8.05,2.0
38,0.0,3.0,2.0,1.0,18.0,2.0,0.0,18.0,2.0
39,1.0,3.0,2.0,1.0,14.0,1.0,0.0,11.24,0.0
40,0.0,3.0,1.0,1.0,40.0,1.0,0.0,9.48,2.0
41,0.0,2.0,1.0,1.0,27.0,1.0,0.0,21.0,2.0
42,0.0,3.0,0.0,0.0,28.85,0.0,0.0,7.9,0.0
